id,profile_id,job_id,convex_write_status,convex_error,convex_written_at
86988278-b5bc-4625-ae07-4bb6742c6d7b,253d2f0e-0d3b-45e1-a174-e1aa4a089b33,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
422633d0-e594-40cc-99cb-94c40c6c6a25,7a0115ea-3acc-4bd8-81d2-0bdd6de68b91,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
5137df28-3569-46b4-a840-8ab77c48b0ce,7fe812d8-edc8-4715-b432-66f183d94cee,5137df28-3569-46b4-a840-8ab77c48b0ce,success,,1756282715257
4209912d-0cb7-47d9-8df8-79cfdfa7c3f5,43e5df06-8a57-441f-984e-00eec544885e,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
412942ed-d99a-4108-b3fc-6ef672f5d61d,420da8f1-9f9e-4479-85ea-95e402c3d5d2,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
9b8e86b1-a533-4359-9068-6998cdea96f4,fede9bf6-498b-4bd9-9bf5-2ab12dadf484,9b8e86b1-a533-4359-9068-6998cdea96f4,success,,1756282271431
e1c4676e-df9a-4526-82c4-b31f697e3908,e9b2288b-a341-427c-a8ca-adeaa08a6a98,e1c4676e-df9a-4526-82c4-b31f697e3908,success,,1756281148382
6aa5e476-8a52-450b-bee2-7119d187b041,e9b2288b-a341-427c-a8ca-adeaa08a6a98,6aa5e476-8a52-450b-bee2-7119d187b041,success,,1756280734578
9cbebd29-b934-4707-a2e4-f6f39e621afa,e9b2288b-a341-427c-a8ca-adeaa08a6a98,9cbebd29-b934-4707-a2e4-f6f39e621afa,success,,1756278412578
819127f4-6cb6-4e1b-aa1d-833c1e496ac4,e9b2288b-a341-427c-a8ca-adeaa08a6a98,819127f4-6cb6-4e1b-aa1d-833c1e496ac4,success,,1756278099920
3fd254c9-0282-4c32-a3e9-6d38b548e8a7,6176eb4e-3ac6-4cfd-8317-6f28f4f50ea0,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
82cd56e3-e834-4296-9b00-6ba49f1d7fff,46d856a7-584e-4920-8f6f-817b74fad95b,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
e2f31bb8-e22d-4640-a712-86a80431606b,cf3a5189-640c-495e-bd1c-ac11bc850461,e2f31bb8-e22d-4640-a712-86a80431606b,success,,1756260659791
fa964e4a-66ed-4f00-96fb-633eac2ecbc1,af3b39ab-fcb1-4713-a340-a5800a6f9bd1,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
92596023-5b2c-4403-93e4-ccd7a604f1cd,2e44af74-9f15-4126-a4c1-99f2fe7c0522,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
e378ec03-7c76-432f-bf5c-487b094173ad,64c18ca5-44b0-44a6-b772-15093e32795b,e378ec03-7c76-432f-bf5c-487b094173ad,success,,1756260474364
19ce6379-9b75-444c-beae-90e97d8240be,48ac45a1-aa1c-4192-8480-03bcee807f84,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
7eea3959-6d69-4826-9539-3be35c15ed39,f9c8dd5b-0feb-4064-9921-f5de4405c1d3,,,,
68e81b42-f2ba-4359-a6a5-43358cd89c50,d2f2dc5f-d87f-4c50-a08b-67148806ec86,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
6611650a-71d3-44be-8cf8-6f55baf734c7,87a149f7-083e-43c1-86d7-ce3501758778,6611650a-71d3-44be-8cf8-6f55baf734c7,success,,1756260124600
c6d4c13d-d62c-43e2-b0e4-a09a9bddf057,30d4650b-e43b-4f9e-bd14-32cefb44944e,c6d4c13d-d62c-43e2-b0e4-a09a9bddf057,success,,1756260124169
f2e51ed4-cb8b-49ca-a62f-5018dabbce8f,2f9057ab-1f1c-4f10-bdaa-0461b0bf8347,f2e51ed4-cb8b-49ca-a62f-5018dabbce8f,success,,1756260124266
71a73ff5-2372-4821-aea8-cefe1e447893,72a3fcd6-80c0-498b-9829-c7ae88c19114,,failed,"Failed to call Convex action after 4 attempts: Convex action returned retryable status 500: {""error"":""Error: Uncaught Error: Failed to insert or update a document in table \""profiles\"" because it does not match the schema: Value does not match validator.\nPath: .experience[0].description\nValue: null\nValidator: v.string()\n    at async handler (../../convex/mutations/upsertProfile.ts:136:4)\n""}",
9c60daf2-8094-4c3e-970f-5045d7a8ab89,ed2fe815-be9a-4830-8ac9-ffa080619508,,,,
